Vernier Format 2
NiSi55_40_det	16:30  Thursday, March 02, 2023
Latest
Time	Potential
Time	V
min	V

10.700000763	0.658749998
10.750000954	0.667499959
10.800000191	0.666249990
10.850000381	0.661249995
10.900000572	0.642499983
10.950000763	0.654999971
11.000000954	0.651250005
11.050000191	0.658749998
11.100000381	0.656250000
11.150000572	0.661249995
11.200000763	0.659999967
11.250000954	0.666249990
11.300000191	0.699999988
11.350000381	0.673749983
11.400000572	0.661249995
11.450000763	0.641250014
11.500000954	0.661249995
11.550000191	0.654999971
11.600000381	0.649999976
11.650000572	0.668749988
11.700000763	0.672500014
11.750000954	0.676249981
11.800000191	0.667499959
11.850000381	0.675000012
11.900000572	0.668749988
11.950000763	0.671249986
12.000000954	0.678749979
12.050000191	0.716250002
12.100000381	0.711250007
12.150000572	0.698749959
12.200000763	0.703749955
12.250000954	0.699999988
12.300000191	0.683749974
12.350000381	0.732499957
12.400000572	0.709999979
12.450000763	0.732499957
12.500000954	0.714999974
12.550000191	0.728749990
12.600000381	0.772499979
12.650000572	0.799999952
12.700000763	0.776250005
12.750000954	0.806249976
12.800001144	0.818749964
12.850000381	0.829999983
12.900000572	0.847499967
12.950000763	0.877499998
13.000000954	0.879999995
13.050001144	0.872500002
13.100000381	0.886249959
13.150000572	0.886249959
13.200000763	0.858749986
13.250000954	0.854999959
13.300001144	0.848749995
13.350000381	0.799999952
13.400000572	0.817499995
13.450000763	0.766249955
13.500000954	0.771250010
13.550001144	0.784999967
13.600000381	0.772499979
13.650000572	0.766249955
13.700000763	0.747500002
13.750000954	0.738749981
13.800001144	0.722499967
13.850000381	0.729999959
13.900000572	0.697499990
13.950000763	0.683749974
14.000000954	0.702499986
14.050001144	0.709999979
14.100000381	0.675000012
14.150000572	0.694999993
14.200000763	0.685000002
14.250000954	0.685000002
14.300001144	0.678749979
14.350000381	0.702499986
14.400000572	0.677500010
14.450000763	0.683749974
14.500000954	0.676249981
14.550001144	0.671249986
14.600000381	0.668749988
14.650000572	0.687500000
14.700000763	0.673749983
14.750000954	0.687500000
14.800001144	0.676249981
14.850000381	0.680000007
14.900000572	0.667499959
14.950000763	0.662499964
15.000000954	0.672500014
15.050001144	0.664999962
15.100000381	0.666249990
15.150000572	0.668749988
15.200000763	0.681249976
15.250000954	0.656250000
15.300001144	0.659999967
15.350000381	0.661249995
15.400000572	0.666249990
15.450000763	0.667499959
15.500000954	0.664999962
15.550001144	0.653750002
15.600000381	0.686249971
15.650000572	0.698749959
15.700000763	0.680000007
15.750000954	0.681249976
15.800001144	0.664999962
15.850000381	0.662499964
15.900000572	0.667499959
15.950000763	0.687500000
16.000000000	0.668749988
16.050001144	0.681249976
16.100000381	0.656250000
16.150001526	0.694999993
16.200000763	0.671249986
16.250000000	0.677500010
16.300001144	0.672500014
16.350000381	0.699999988
16.400001526	0.646250010
16.450000763	0.671249986
16.500000000	0.687500000
16.550001144	0.653750002
16.600000381	0.675000012
16.650001526	0.649999976
16.700000763	0.693749964
16.750000000	0.651250005
16.800001144	0.677500010
16.850000381	0.671249986
16.900001526	0.680000007
16.950000763	0.669999957
17.000000000	0.675000012
17.050001144	0.686249971
17.100000381	0.678749979
17.150001526	0.675000012
17.200000763	0.662499964
17.250000000	0.689999998
17.300001144	0.673749983
17.350000381	0.689999998
17.400001526	0.678749979
17.450000763	0.692499995
17.500000000	0.716250002
17.550001144	0.722499967
17.600000381	0.713750005
17.650001526	0.714999974
17.700000763	0.727499962
17.750000000	0.751249969
17.800001144	0.769999981
17.850000381	0.807500005
17.900001526	0.832499981
17.950000763	0.883749962
18.000000000	0.956249952
18.050001144	1.039999962
18.100000381	1.117499948
18.150001526	1.231249928
18.200000763	1.378749967
18.250000000	1.607499957
18.300001144	1.794999957
18.350000381	1.991249919
18.400001526	2.214999914
18.450000763	2.468750000
18.500001907	2.684999943
18.550001144	2.888749838
18.600000381	3.082499981
18.650001526	3.279999971
18.700000763	3.406250000
18.750001907	3.451249838
18.800001144	3.448750019
18.850000381	3.451249838
18.900001526	3.451249838
18.950000763	3.292500019
19.000001907	3.213749886
19.050001144	2.994999886
19.100000381	2.757499933
19.150001526	2.538749933
19.200000763	2.243749857
19.250001907	1.997499943
19.300001144	1.762499928
19.350000381	1.498749971
19.400001526	1.314999938
19.450000763	1.176249981
19.500001907	1.068750024
19.550001144	0.952499986
19.600000381	0.906250000
19.650001526	0.844999969
19.700000763	0.843750000
19.750001907	0.813749969
19.800001144	0.758749962
19.850000381	0.777499974
19.900001526	0.753749967
19.950000763	0.726249993
20.000001907	0.727499962
20.050001144	0.711250007
20.100000381	0.714999974
20.150001526	0.711250007
20.200000763	0.699999988
20.250001907	0.697499990
20.300001144	0.662499964
20.350000381	0.676249981
20.400001526	0.677500010
20.450000763	0.664999962
20.500001907	0.642499983
20.550001144	0.653750002
20.600000381	0.672500014
20.650001526	0.686249971
20.700000763	0.675000012
20.750001907	0.669999957
20.800001144	0.658749998
20.850000381	0.664999962
20.900001526	0.658749998
20.950000763	0.657499969
21.000001907	0.644999981
21.050001144	0.659999967
21.100000381	0.661249995
21.150001526	0.654999971
21.200000763	0.656250000
21.250001907	0.636249959
21.300001144	0.642499983
21.350000381	0.656250000
21.400001526	0.641250014
21.450000763	0.644999981
21.500001907	0.651250005
21.550001144	0.675000012
21.600000381	0.653750002
21.650001526	0.654999971
21.700000763	0.637499988
21.750001907	0.638749957
21.800001144	0.661249995
21.850000381	0.648750007
21.900001526	0.651250005
21.950000763	0.654999971
22.000001907	0.642499983
22.050001144	0.638749957
22.100000381	0.631249964
22.150001526	0.633749962
22.200000763	0.637499988
22.250001907	0.623749971
22.300001144	0.651250005
22.350000381	0.633749962
22.400001526	0.618749976
22.450000763	0.633749962
22.500001907	0.641250014
22.550001144	0.620000005
22.600000381	0.634999990
22.650001526	0.633749962
22.700000763	0.646250010
22.750001907	0.623749971
22.800001144	0.626249969
22.850000381	0.644999981
22.900001526	0.612500012
22.950000763	0.633749962
23.000001907	0.636249959
23.050001144	0.641250014
23.100000381	0.663749993
23.150001526	0.657499969
23.200000763	0.647499979
23.250001907	0.647499979
23.300001144	0.649999976
23.350000381	0.637499988
23.400001526	0.618749976
23.450000763	0.636249959
23.500001907	0.612500012
23.550001144	0.646250010
23.600000381	0.642499983
23.650001526	0.633749962
23.700000763	0.638749957
23.750001907	0.638749957
23.800001144	0.636249959
23.850000381	0.634999990
23.900001526	0.603749990
23.950000763	0.634999990
24.000001907	0.611249983
24.050001144	0.649999976
24.100000381	0.652499974
24.150001526	0.632499993
24.200000763	0.647499979
24.250001907	0.648750007
24.300001144	0.628749967
24.350000381	0.621249974
24.400001526	0.607499957
24.450000763	0.652499974
24.500001907	0.657499969
24.550001144	0.627499998
24.600000381	0.654999971
24.650001526	0.652499974
24.700000763	0.633749962
24.750001907	0.627499998
24.800001144	0.629999995
24.850000381	0.608749986
24.900001526	0.629999995
24.950000763	0.644999981
25.000001907	0.621249974
25.050001144	0.627499998
25.100000381	0.628749967
25.150001526	0.636249959
25.200000763	0.632499993
25.250001907	0.610000014
25.300001144	0.632499993
25.350000381	0.643750012
25.400001526	0.639999986
25.450000763	0.621249974
25.500001907	0.636249959
25.550001144	0.643750012
25.600002289	0.618749976
25.650001526	0.652499974
25.700000763	0.638749957
25.750001907	0.631249964
