Vernier Format 2
Ni74Cu26_50_43_Fine	16:22  Tuesday, March 07, 2023
6.050000191	0.251249999
6.100000381	0.248750001
6.150000095	0.244999990
6.200000286	0.251249999
6.250000477	0.234999999
6.300000191	0.246249989
6.350000381	0.242499992
6.400000572	0.234999999
6.450000286	0.242499992
6.500000477	0.233750001
6.550000191	0.231249988
6.600000381	0.236249998
6.650000572	0.228749990
6.700000286	0.231249988
6.750000477	0.226249993
6.800000191	0.231249988
6.850000381	0.242499992
6.900000572	0.233750001
6.950000286	0.231249988
7.000000477	0.234999999
7.050000191	0.236249998
7.100000381	0.242499992
7.150000572	0.223749995
7.200000286	0.237499997
7.250000477	0.236249998
7.300000191	0.231249988
7.350000381	0.217500001
7.400000572	0.229999989
7.450000286	0.234999999
7.500000477	0.236249998
7.550000191	0.233750001
7.600000381	0.234999999
7.650000572	0.246249989
7.700000286	0.234999999
7.750000477	0.234999999
7.800000191	0.227499992
7.850000381	0.227499992
7.900000572	0.226249993
7.950000286	0.236249998
8.000000000	0.213749990
8.050000191	0.229999989
8.100000381	0.232500002
8.150000572	0.241249993
8.200000763	0.243749991
8.250000000	0.227499992
8.300000191	0.223749995
8.350000381	0.232500002
8.400000572	0.231249988
8.450000763	0.227499992
8.500000000	0.241249993
8.550000191	0.231249988
8.600000381	0.232500002
8.650000572	0.216250002
8.700000763	0.234999999
8.750000000	0.238749996
8.800000191	0.226249993
8.850000381	0.229999989
8.900000572	0.246249989
8.950000763	0.239999995
9.000000000	0.232500002
9.050000191	0.242499992
9.100000381	0.252499998
9.150000572	0.242499992
9.200000763	0.239999995
9.250000954	0.246249989
9.300000191	0.243749991
9.350000381	0.234999999
9.400000572	0.247499987
9.450000763	0.243749991
9.500000954	0.247499987
9.550000191	0.257499993
9.600000381	0.256249994
9.650000572	0.268749982
9.700000763	0.276250005
9.750000954	0.299999982
9.800000191	0.303749979
9.850000381	0.316249996
9.900000572	0.331249982
9.950000763	0.340000004
10.000000954	0.357499987
10.050000191	0.391249985
10.100000381	0.402500004
10.150000572	0.401250005
10.200000763	0.446249992
10.250000954	0.448749989
10.300000191	0.454999983
10.350000381	0.458749980
10.400000572	0.443749994
10.450000763	0.462499976
10.500000954	0.449999988
10.550000191	0.444999993
10.600000381	0.421249986
10.650000572	0.409999996
10.700000763	0.373750001
10.750000954	0.364999980
10.800000191	0.346249998
10.850000381	0.316249996
10.900000572	0.305000007
10.950000763	0.281250000
11.000000954	0.283749998
11.050000191	0.266249985
11.100000381	0.263749987
11.150000572	0.262499988
11.200000763	0.258749992
11.250000954	0.229999989
11.300000191	0.223749995
11.350000381	0.237499997
11.400000572	0.241249993
11.450000763	0.244999990
11.500000954	0.246249989
11.550000191	0.229999989
11.600000381	0.234999999
11.650000572	0.243749991
11.700000763	0.252499998
11.750000954	0.238749996
11.800000191	0.232500002
11.850000381	0.244999990
11.900000572	0.227499992
11.950000763	0.224999994
12.000000954	0.224999994
12.050000191	0.232500002
12.100000381	0.242499992
12.150000572	0.237499997
12.200000763	0.228749990
12.250000954	0.224999994
12.300000191	0.243749991
12.350000381	0.247499987
12.400000572	0.236249998
12.450000763	0.237499997
12.500000954	0.244999990
12.550000191	0.244999990
12.600000381	0.243749991
12.650000572	0.234999999
12.700000763	0.241249993
12.750000954	0.239999995
12.800001144	0.237499997
12.850000381	0.228749990
12.900000572	0.227499992
12.950000763	0.234999999
13.000000954	0.243749991
13.050001144	0.236249998
13.100000381	0.243749991
13.150000572	0.248750001
13.200000763	0.234999999
13.250000954	0.246249989
13.300001144	0.256249994
13.350000381	0.236249998
13.400000572	0.247499987
13.450000763	0.246249989
13.500000954	0.228749990
13.550001144	0.228749990
13.600000381	0.246249989
13.650000572	0.247499987
13.700000763	0.239999995
13.750000954	0.229999989
13.800001144	0.231249988
13.850000381	0.237499997
13.900000572	0.226249993
13.950000763	0.223749995
14.000000954	0.231249988
